Total Number of Aligned Reads:	108492	Total Number of Mapped Genomes:	2596
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|883103|org|Dolosigranulum_pigrum_ATCC_51524|accession|NZ_JH601104.1	0.764953790179994	0.6723998082807949	72950.0	0.6723998082807949	0.0	0.38248110732268037	0.3356576214528875	36416.16666666667	0.6690539394609741	0.0018803229731224422
ti|1121368|org|Corynebacterium_pseudodiphtheriticum_DSM_44287|accession|NZ_JIAH01000003.1	0.17261464468290577	0.1897006230874166	20581.0	0.1897006230874166	0.0	0.17255196047425939	0.18968986960636117	20579.833333333336	0.18951627769789478	0.00018434538952180805
ti|176280|org|Staphylococcus_epidermidis_ATCC_12228|accession|NC_004461.1	0.03143401330390853	0.03230652951369686	3505.0	0.03230652951369686	0.0	0.005593143668077697	0.02661150985309072	2887.1359269815184	0.0002857353537588025	0.027762415661984292
ti|147645|org|Paracoccus_yeei|accession|NZ_CP020442.2	0.008432476800663587	0.03971721417247354	4309.0	0.03971721417247354	0.0	0.00538982660408393	0.03920719192812988	4253.666666666667	0.03340338458135162	0.0058806179257456775
ti|1242245|org|Acinetobacter_johnsonii_XBB1|accession|NZ_CP010350.1	0.00434758213314581	0.005696272536223869	618.0	0.005696272536223869	0.0	0.001807138679328853	0.0028617427135290197	310.4761904761904	0.0021844928658334255	0.0007926851749437746
ti|525640|org|Paracoccus_chinensis|accession|NZ_FNGE01000043.1	0.00273358854329268	0.004424289348523394	480.0	0.004424289348523394	0.0	0.0007392509489391417	0.003216607588358501	348.9761904761905	4.608634738045201e-05	0.003272130664012093
ti|72758|org|Staphylococcus_capitis_subsp._capitis|accession|NZ_CP007601.1	0.0023462279488222727	0.004728459241234377	513.0	0.004728459241234377	0.0	0.004048341217025815	0.003942352807896695	427.7137408343283	7.373815580872323e-05	0.005779227961508683
ti|316|org|Pseudomonas_stutzeri|accession|NC_015740.1	0.001270705888256368	0.006756258525974265	733.0	0.006756258525974265	0.0	0.0009764373646262297	0.00641521955535892	696.0	0.002654573609114036	0.003769863215720975
ti|465515|org|Micrococcus_luteus_NCTC_2665|accession|NC_012803.1	0.0011315356437909543	0.0010046823728938538	109.0	0.0009770305644655826	2.765180842827121e-05	0.0008295910119532116	0.0009125096781329499	99.0	0.0008479887918003171	6.452088633263282e-05
ti|1123233|org|Salinicoccus_luteus_DSM_17002|accession|NZ_JONV01000003.1	0.0008156872426240963	0.0013180695350809275	143.0	0.0013180695350809275	0.0	0.0008145386637546151	0.0013549386129852892	147.0	0.0013180695350809275	3.6869077904361614e-05
ti|574650|org|Micrococcus_terreus|accession|NZ_FPCG01000027.1	0.0006679163086774557	0.0011245068760830292	122.0	0.0011152896066069387	9.217269476090403e-06	0.0005706993187042163	0.000986247833941673	107.0	0.0008295542528481362	0.00015669358109353685
ti|365659|org|Streptococcus_mitis_B6|accession|NC_013853.1	0.000654727277414984	0.0013365040740331085	145.0	0.0013365040740331085	0.0	0.00027865929699092155	0.000801902444419865	87.0	0.0005346016296132434	0.0002765180842827121
ti|1341679|org|Acinetobacter_indicus_CIP_110367|accession|NZ_KI530754.1	0.0004991858421927906	0.005216974523467168	566.0	0.005216974523467168	0.0	5.444667843498515e-05	0.00010408930744070657	11.292857142857137	0.0	0.0006267743243741474
ti|136273|org|Kocuria_polaris|accession|NZ_JSUH01000031.1	0.0004730544356930068	0.000663643402278509	72.0	0.0005991225159458762	6.452088633263282e-05	0.00024374570044065764	0.0003502562400914353	38.0	0.0002857353537588025	7.373815580872323e-05
ti|200991|org|Planococcus_rifietoensis|accession|NZ_CP013659.2	0.00041815256547586137	0.000986247833941673	107.0	0.000986247833941673	0.0	0.00026628259507573094	0.00025808354533053126	28.0	0.00023964900637835047	1.8434538952180807e-05
ti|1377|org|Aerococcus_viridans|accession|NZ_CP014164.1	0.0003544245517763035	0.00040555985694797775	44.0	0.00040555985694797775	0.0	0.0003486186689999724	0.0004147771264240681	45.0	0.0003963425874718873	1.8434538952180807e-05
